purpose,model_a,model_b,metric,point_difference_a_minus_b,ci_lower,ci_upper,interval_excludes_zero,bootstrap_unit,bootstrap_resamples,random_seed
validation,arima_sarima,tirex2,wape,4.912208218809859,4.037067647704634,5.874735406909602,True,SKU-store series,2000,2026
validation,xgboost,tirex2,mae,0.17669110052154524,0.1394441270777324,0.21885883187094954,True,SKU-store series,2000,2026
validation,xgboost,tirex2,rmsse,0.014769749809506183,0.002191398616150861,0.02795233733109167,True,SKU-store series,2000,2026
validation,xgboost,tirex2,wape,4.96911554067141,3.7622202204232935,6.450467754984125,True,SKU-store series,2000,2026
final_test,seasonal_naive,ets,mae,0.42694182344873166,0.35770182030850267,0.4981150069894692,True,SKU-store series,2000,2026
final_test,seasonal_naive,ets,rmsse,0.20637523056823903,0.18603017200777375,0.2261782186992674,True,SKU-store series,2000,2026
final_test,seasonal_naive,ets,wape,11.576289443344862,9.755364285148008,13.506626819374567,True,SKU-store series,2000,2026
final_test,seasonal_naive,arima_sarima,mae,0.42416452686711326,0.35419800964083276,0.49593546967747815,True,SKU-store series,2000,2026
final_test,seasonal_naive,arima_sarima,rmsse,0.20008894984922032,0.18039132341606753,0.21883570089721063,True,SKU-store series,2000,2026
final_test,seasonal_naive,arima_sarima,wape,11.500984595393618,9.748089342905496,13.353066495328017,True,SKU-store series,2000,2026
final_test,seasonal_naive,xgboost,mae,0.44599586432307436,0.36238135874868427,0.5275940531074538,True,SKU-store series,2000,2026
final_test,seasonal_naive,xgboost,rmsse,0.1962768940864662,0.1734919581171724,0.2180634112236018,True,SKU-store series,2000,2026
final_test,seasonal_naive,xgboost,wape,12.09292913548127,10.18647963858358,14.050233376830926,True,SKU-store series,2000,2026
final_test,seasonal_naive,tirex2,mae,0.5624711472479891,0.48891808039129564,0.6417221641568069,True,SKU-store series,2000,2026
final_test,seasonal_naive,tirex2,rmsse,0.18772789460870354,0.1670837991300945,0.20973516763163919,True,SKU-store series,2000,2026
final_test,seasonal_naive,tirex2,wape,15.2510914753585,13.439709069452844,17.351210558117195,True,SKU-store series,2000,2026
final_test,ets,arima_sarima,mae,-0.0027772965816184048,-0.049549489485567026,0.05129638931349861,False,SKU-store series,2000,2026
final_test,ets,arima_sarima,rmsse,-0.006286280719018711,-0.014064972715349348,0.001900019270066116,False,SKU-store series,2000,2026
final_test,ets,arima_sarima,wape,-0.07530484795124437,-1.3694238008819317,1.38896464978567,False,SKU-store series,2000,2026
final_test,ets,xgboost,mae,0.019054040874342704,-0.03327192805255358,0.08114800497890431,False,SKU-store series,2000,2026
final_test,ets,xgboost,rmsse,-0.01009833648177283,-0.02386216718179241,0.002036101768202902,False,SKU-store series,2000,2026
final_test,ets,xgboost,wape,0.5166396921364083,-0.9494576423103149,2.097530947591724,False,SKU-store series,2000,2026
final_test,ets,tirex2,mae,0.13552932379925742,0.07689720604415844,0.20603812089195667,True,SKU-store series,2000,2026
final_test,ets,tirex2,rmsse,-0.018647335959535494,-0.029038875979020363,-0.007654758842597075,True,SKU-store series,2000,2026
final_test,ets,tirex2,wape,3.6748020320136376,2.087243397088565,5.573530374217856,True,SKU-store series,2000,2026
final_test,arima_sarima,xgboost,mae,0.02183133745596111,-0.01619241978227546,0.05836409136908617,False,SKU-store series,2000,2026
final_test,arima_sarima,xgboost,rmsse,-0.0038120557627541185,-0.016835969579534173,0.008031788986588408,False,SKU-store series,2000,2026
final_test,arima_sarima,xgboost,wape,0.5919445400876526,-0.4470743493570385,1.5408631623191462,False,SKU-store series,2000,2026
final_test,arima_sarima,tirex2,mae,0.13830662038087582,0.10231825100801879,0.17612607749732248,True,SKU-store series,2000,2026
final_test,arima_sarima,tirex2,rmsse,-0.012361055240516783,-0.019920735057230545,-0.004163777340925398,True,SKU-store series,2000,2026
final_test,arima_sarima,tirex2,wape,3.750106879964882,2.758294298971867,4.907543881158884,True,SKU-store series,2000,2026
final_test,xgboost,tirex2,mae,0.11647528292491471,0.07406200811483418,0.16077006544039368,True,SKU-store series,2000,2026
final_test,xgboost,tirex2,rmsse,-0.008548999477762664,-0.02239722869904626,0.006387166208936482,False,SKU-store series,2000,2026
final_test,xgboost,tirex2,wape,3.1581623398772294,1.962700499869757,4.600585061071249,True,SKU-store series,2000,2026
